City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tiruchchendur,8.4833,78.1167,79.56,78,4,18.23,IN,1706545858
83,edinburgh of the seven seas,-37.0676,-12.3116,63.73,89,59,22.77,SH,1706545858
84,udachny,66.4167,112.4,-8.55,83,99,2.55,RU,1706545858
85,dalbandin,28.8947,64.4101,65.35,48,100,5.21,PK,1706545858
86,homer,59.6425,-151.5483,13.87,80,100,0.0,US,1706545859
87,papatowai,-46.5619,169.4708,54.54,79,93,6.44,NZ,1706545859
88,olyokminsk,60.3736,120.4264,-24.47,98,100,1.39,RU,1706545859
89,ad dabbah,18.05,30.95,67.64,18,45,10.83,SD,1706545859
90,tofol,5.3248,163.0078,81.7,68,100,11.39,FM,1706545859
91,vorgashor,67.5833,63.95,2.55,95,79,9.53,RU,1706545859
92,hermanus,-34.4187,19.2345,79.81,52,71,26.55,ZA,1706545860
93,zaozersk,69.4005,32.4476,33.24,67,72,39.46,RU,1706545860
94,gunjur,13.2019,-16.7339,95.07,12,63,5.75,GM,1706545860
95,queenstown,-31.8976,26.8753,83.89,35,99,10.89,ZA,1706545860
96,lebu,-37.6167,-73.65,65.14,60,61,12.03,CL,1706545860
97,lihue,21.9789,-159.3672,72.99,89,100,16.11,US,1706545860
98,alenquer,-1.9417,-54.7383,87.49,55,52,1.99,BR,1706545861
99,saipan,15.1355,145.701,75.9,73,40,13.8,MP,1706545861
100,qingzhou,36.6967,118.4797,33.22,64,15,7.05,CN,1706545861
101,kyren,51.6828,102.1408,-7.06,93,60,1.01,RU,1706545861
102,ts'khinvali,42.2276,43.9686,25.02,79,30,6.55,GE,1706545861
103,bikenibeu village,1.3673,173.1241,80.56,83,75,5.75,KI,1706545861
104,anadyr,64.75,177.4833,-30.5,66,20,11.18,RU,1706545862
105,albacete,38.8333,-2.0,52.18,71,0,6.91,ES,1706545862
106,livingston,55.9029,-3.5226,42.48,89,75,5.75,GB,1706545853
107,weno,7.4515,151.8468,78.75,94,100,4.61,FM,1706545862
108,zholymbet,51.7433,71.7122,-5.01,100,27,6.44,KZ,1706545862
109,tabatinga,-4.2525,-69.9381,84.29,83,75,3.44,BR,1706545862
110,alice springs,-23.7,133.8833,83.21,13,77,1.99,AU,1706545863
111,west island,-12.1568,96.8225,78.78,73,16,5.75,CC,1706545863
112,ongjin,37.9347,125.3619,31.46,79,41,2.73,KP,1706545863
113,port elizabeth,-33.918,25.5701,80.1,73,0,3.44,ZA,1706545863
114,port mathurin,-19.6833,63.4167,82.26,81,88,19.98,MU,1706545864
115,mirnyy,62.5353,113.9611,-37.14,100,48,3.49,RU,1706545864
116,kirensk,57.7853,108.1119,-38.04,100,69,1.01,RU,1706545864
117,college,64.8569,-147.8028,-10.8,58,100,0.0,US,1706545826
118,akdepe,42.0551,59.3788,33.89,79,100,11.52,TM,1706545864
119,peoria heights,40.7473,-89.574,32.95,99,100,10.36,US,1706545865
120,kasba tadla,32.5977,-6.2684,73.51,24,98,5.84,MA,1706545694
121,sur,22.5667,59.5289,75.42,72,76,0.76,OM,1706545865
122,souillac,-20.5167,57.5167,80.98,94,75,8.05,MU,1706545865
123,piti village,13.4626,144.6933,78.85,84,20,6.91,GU,1706545865
124,mola di bari,41.0609,17.0873,52.12,57,2,8.37,IT,1706545866
125,kashgar,39.4547,75.9797,27.61,63,20,4.47,CN,1706545866
126,yemetsk,63.4721,41.7941,34.16,91,100,10.69,RU,1706545866
127,jimma,7.6667,36.8333,65.26,79,79,1.88,ET,1706545866
128,margate,51.3813,1.3862,48.87,91,95,8.01,GB,1706545481
129,tondano,1.3038,124.9112,71.69,95,62,2.82,ID,1706545866
130,besni,37.6928,37.8611,34.43,68,100,4.29,TR,1706545866
131,coyhaique,-45.5752,-72.0662,66.15,45,20,6.91,CL,1706545867
132,berezovyy,51.6667,135.7,-0.69,99,100,2.39,RU,1706545867
133,praia da vitoria,38.7333,-27.0667,63.75,88,40,18.05,PT,1706545867
134,annau,37.8876,58.516,42.3,87,75,6.91,TM,1706545867
135,itoman,26.1247,127.6694,64.09,63,92,5.75,JP,1706545867
136,tura,25.5198,90.2201,56.77,55,0,3.09,IN,1706545867
137,avarua,-21.2078,-159.775,80.65,94,75,4.61,CK,1706545868
138,thompson,55.7435,-97.8558,23.16,93,100,8.05,CA,1706545868
139,llanes,43.4198,-4.7549,60.53,63,100,3.15,ES,1706545868
140,stryszawa,49.7133,19.5219,38.07,86,9,4.54,PL,1706545868
141,birdsboro,40.2645,-75.8041,40.6,73,100,19.57,US,1706545868
142,holualoa,19.6228,-155.9522,67.84,88,0,10.36,US,1706545869
143,howrah,22.5892,88.3103,66.2,68,20,3.44,IN,1706545869
144,ust-nera,64.5667,143.2,-39.03,98,78,4.05,RU,1706545869
145,hailey,43.5196,-114.3153,31.86,86,0,6.91,US,1706545869
146,hammerfest,70.6634,23.6821,36.05,75,75,69.05,NO,1706545869
147,nyaunglebin,17.95,96.7333,72.72,76,19,5.23,MM,1706545870
148,kholmsk,47.0511,142.0569,25.14,88,100,11.23,RU,1706545870
149,smithville,39.3869,-94.5811,48.92,67,0,10.36,US,1706545800
150,carutapera,-1.195,-46.02,88.05,56,73,10.31,BR,1706545870
151,norderney,53.7,7.15,46.42,94,100,11.03,DE,1706545871
152,coquimbo,-29.9533,-71.3436,64.13,94,100,8.05,CL,1706545871
153,port blair,11.6667,92.75,73.44,94,75,3.44,IN,1706545819
154,bubaque,11.2833,-15.8333,80.76,50,85,10.83,GW,1706545871
155,dowlatabad,32.7998,51.6955,40.68,45,0,4.61,IR,1706545871
156,prado,-17.3411,-39.2208,83.95,71,100,9.13,BR,1706545871
157,morbi,22.8167,70.8333,70.65,72,2,5.93,IN,1706545872
158,sola,-13.8833,167.55,80.98,77,95,8.95,VU,1706545872
159,qinzhou,21.95,108.6167,53.11,92,100,4.9,CN,1706545872
160,pudozh,61.8099,36.5345,29.95,95,94,10.0,RU,1706545872
161,rupert,42.6191,-113.6772,35.55,87,0,9.22,US,1706545873
162,ozark,37.0209,-93.206,50.29,80,0,1.01,US,1706545873
163,mikun',62.3547,50.0771,20.89,95,100,8.52,RU,1706545873
164,bel air riviere seche,-20.2542,57.7453,81.68,87,6,6.42,MU,1706545873
165,gondia,21.45,80.2,66.96,33,78,3.44,IN,1706545873
166,giddings,30.1827,-96.9364,59.52,51,0,0.0,US,1706545873
167,port saint john's,-31.6229,29.5448,80.13,83,23,18.37,ZA,1706545873
168,novyy urgal,51.0736,132.5642,-6.32,98,100,3.87,RU,1706545874
169,tulay na lupa,14.0934,122.7862,70.95,85,85,9.15,PH,1706545874
170,fale old settlement,-9.3852,-171.2468,84.04,72,97,4.56,TK,1706545874
171,constantia,44.1833,28.65,34.7,74,99,19.57,RO,1706545874
172,dudinka,69.4058,86.1778,6.62,83,100,18.01,RU,1706545874
173,kayangel,8.0823,134.7173,80.89,85,100,23.67,PW,1706545874
174,imperatriz,-5.5264,-47.4917,87.85,70,40,8.05,BR,1706545875
175,kalmunai,7.4167,81.8167,77.68,87,65,8.9,LK,1706545875
176,utrik,11.2278,169.8474,78.85,69,62,12.21,MH,1706545875
177,iskateley,67.6803,53.1512,17.02,92,100,18.99,RU,1706545875
178,saldanha,-33.0117,17.9442,73.45,79,46,18.7,ZA,1706545875
179,longyearbyen,78.2186,15.6401,26.44,86,100,27.63,SJ,1706545875
180,akureyri,65.6835,-18.0878,28.33,93,100,4.61,IS,1706545876
181,zeya,53.75,127.2667,-10.52,96,96,2.08,RU,1706545876
182,khash,28.2211,61.2158,53.82,39,100,5.26,IR,1706545876
183,qaqortoq,60.7167,-46.0333,-5.51,76,56,5.14,GL,1706545876
184,malango,-2.9627,119.9001,68.9,97,100,1.79,ID,1706545876
185,nar'yan-mar,67.6713,53.087,17.11,92,100,18.99,RU,1706545877
186,la foa,-21.7108,165.8276,77.41,76,86,1.83,NC,1706545877
187,bikin,46.8161,134.26,-9.26,100,80,1.1,RU,1706545877
188,neryungri,56.6709,124.6491,-23.4,98,100,4.16,RU,1706545878
189,stanley,54.868,-1.6985,42.39,93,100,14.09,GB,1706545879
190,lompoc,34.6391,-120.4579,65.59,71,0,12.66,US,1706545681
191,hithadhoo,-0.6,73.0833,82.29,72,37,7.23,MV,1706545879
192,cromer,52.9312,1.2989,51.08,94,98,12.33,GB,1706545640
193,vanimo,-2.6741,141.3028,78.24,87,100,1.81,PG,1706545879
194,hailar,49.2,119.7,-39.12,100,46,3.6,CN,1706545880
195,fangshan,39.6983,115.9925,28.26,80,51,3.56,CN,1706545880
196,kegeyli shahar,42.7767,59.6078,30.29,98,100,8.75,UZ,1706545881
197,cahors,44.4167,1.3333,51.39,82,100,11.7,FR,1706545881
198,petropavlovsk-kamchatsky,53.0452,158.6483,4.46,93,0,8.95,RU,1706545881
199,puerto aysen,-45.4,-72.7,64.56,62,44,4.27,CL,1706545670
200,graaff-reinet,-32.2522,24.5308,101.91,13,93,14.97,ZA,1706545881
201,tarauaca,-8.1614,-70.7656,81.72,85,99,2.64,BR,1706545882
202,mount pearl,47.5166,-52.7813,28.45,90,100,8.05,CA,1706545882
203,vadso,70.0744,29.7487,38.28,70,70,44.87,NO,1706545883
204,bochum,51.4833,7.2167,53.1,59,100,4.54,DE,1706545883
205,keflavik,64.0049,-22.5624,34.23,80,75,42.57,IS,1706545883
206,susuman,62.7833,148.1667,-36.02,97,100,1.01,RU,1706545884
207,freetown,8.484,-13.2299,87.51,70,74,6.91,SL,1706545884
